testType,structType,k,N,D,distribution,timing,trial
kn,quadTree,1,100,2,G,230,1
kn,quadTree,1,100,2,G,242,2
kn,quadTree,1,100,2,G,226,3
kn,quadTree,5,1000,2,U,24396,1
kn,quadTree,5,1000,2,U,22392,2
kn,quadTree,5,1000,2,U,21753,3
kn,quadTree,5,1000,2,G,20567,1
kn,quadTree,5,1000,2,G,19950,2
kn,quadTree,5,1000,2,G,19949,3
kn,quadTree,10,5000,2,U,521999,1
kn,quadTree,10,5000,2,U,563295,2
kn,quadTree,10,5000,2,U,539047,3
kn,quadTree,10,5000,2,G,400659,1
kn,quadTree,10,5000,2,G,426654,2
kn,quadTree,10,5000,2,G,421572,3
kn,quadTree,20,10000,2,U,2199477,1
kn,quadTree,20,10000,2,U,2122337,2
kn,quadTree,20,10000,2,U,2204919,3
kn,quadTree,20,10000,2,G,1727052,1
kn,quadTree,20,10000,2,G,1736688,2
kn,quadTree,20,10000,2,G,1698935,3
kn,quadTree,25,20000,2,U,8809355,1
kn,quadTree,25,20000,2,U,8711756,2
kn,quadTree,25,20000,2,U,8681771,3
kn,quadTree,25,20000,2,G,6779101,1
kn,quadTree,25,20000,2,G,6907279,2
kn,quadTree,25,20000,2,G,6689275,3
n,quadTree,10,100,2,U,243,1
n,quadTree,10,100,2,U,248,2
n,quadTree,10,100,2,U,184,3
n,quadTree,10,100,2,G,227,1
n,quadTree,10,100,2,G,282,2
n,quadTree,10,100,2,G,233,3
n,quadTree,10,1000,2,U,27951,1
n,quadTree,10,1000,2,U,24494,2
n,quadTree,10,1000,2,U,21594,3
n,quadTree,10,1000,2,G,18203,1
n,quadTree,10,1000,2,G,19373,2
n,quadTree,10,1000,2,G,19443,3
n,quadTree,10,5000,2,U,510779,1
n,quadTree,10,5000,2,U,518794,2
n,quadTree,10,5000,2,U,508744,3
n,quadTree,10,5000,2,G,432827,1
n,quadTree,10,5000,2,G,414289,2
n,quadTree,10,5000,2,G,414736,3
n,quadTree,10,10000,2,U,2175944,1
n,quadTree,10,10000,2,U,2156009,2
n,quadTree,10,10000,2,U,2162351,3
n,quadTree,10,10000,2,G,1618925,1
n,quadTree,10,10000,2,G,1661853,2
n,quadTree,10,10000,2,G,1703145,3
n,quadTree,10,20000,2,U,8630658,1
n,quadTree,10,20000,2,U,8567982,2
n,quadTree,10,20000,2,U,8553573,3
n,quadTree,10,20000,2,G,6674757,1
n,quadTree,10,20000,2,G,6447176,2
n,quadTree,10,20000,2,G,6845699,3
k,quadTree,1,1000,2,U,244373,1
k,quadTree,1,1000,2,U,229837,2
k,quadTree,1,1000,2,U,231440,3
