testType,structType,k,N,D,distribution,timing,trial
kn,bucket,20,10000,2,U,3590639,2
kn,quadTree,1,100,2,U,694,2
kn,quadTree,1,100,2,G,603,2
kn,quadTree,5,1000,2,U,39174,2
kn,quadTree,5,1000,2,G,19553,2
kn,quadTree,10,5000,2,U,522426,2
kn,quadTree,10,5000,2,G,397016,2
kn,quadTree,20,10000,2,U,2093541,2
kn,quadTree,20,10000,2,G,1665990,2
n,quadTree,10,100,2,U,826,2
n,quadTree,10,100,2,G,555,2
n,quadTree,10,1000,2,U,41123,2
n,quadTree,10,1000,2,G,19006,2
n,quadTree,10,5000,2,U,508091,2
n,quadTree,10,5000,2,G,408727,2
n,quadTree,10,10000,2,U,2039596,2
n,quadTree,10,10000,2,G,1600019,2
k,quadTree,1,1000,2,U,248829,2
k,quadTree,1,1000,2,G,174043,2
k,quadTree,5,1000,2,U,212855,2
k,quadTree,5,1000,2,G,165862,2
k,quadTree,10,1000,2,U,230206,2
k,quadTree,10,1000,2,G,177420,2
k,quadTree,20,1000,2,U,244532,2
k,quadTree,20,1000,2,G,180867,2
k,kdTree,1,1000,2,U,135663,2
k,kdTree,1,1000,2,G,81383,2
k,kdTree,5,1000,2,U,106807,2
k,kdTree,5,1000,2,G,81959,2
k,kdTree,10,1000,2,U,112861,2
k,kdTree,10,1000,2,G,83197,2
k,kdTree,20,1000,2,U,117793,2
k,kdTree,20,1000,2,G,92563,2
n,kdTree,10,100,2,U,231,2
n,kdTree,10,100,2,G,213,2
n,kdTree,10,1000,2,U,26157,2
n,kdTree,10,1000,2,G,11368,2
n,kdTree,10,5000,2,U,228643,2
n,kdTree,10,5000,2,G,158123,2
n,kdTree,10,10000,2,U,830338,2
n,kdTree,10,10000,2,G,592560,2
kn,kdTree,1,100,2,U,259,2
kn,kdTree,1,100,2,G,216,2
kn,kdTree,5,1000,2,U,26499,2
kn,kdTree,5,1000,2,G,10369,2
kn,kdTree,10,5000,2,U,236498,2
kn,kdTree,10,5000,2,G,155703,2
kn,kdTree,20,10000,2,U,897078,2
kn,kdTree,20,10000,2,G,616714,2
d,kdTree,10,1000,1,G,83609,2
d,kdTree,10,1000,2,G,82784,2
d,kdTree,10,1000,3,G,111928,2
d,kdTree,10,1000,4,G,140625,2
d,kdTree,10,1000,5,G,164945,2
d,kdTree,10,1000,6,G,175798,2
d,kdTree,10,1000,7,G,193012,2
d,kdTree,10,1000,1,U,115344,2
d,kdTree,10,1000,2,U,107371,2
d,kdTree,10,1000,3,U,127048,2
d,kdTree,10,1000,4,U,154856,2
d,kdTree,10,1000,5,U,175988,2
d,kdTree,10,1000,6,U,188439,2
d,kdTree,10,1000,7,U,213204,2
k,bucket,1,1000,2,G,1032763,3
k,bucket,5,1000,2,G,1004007,3
k,bucket,10,1000,2,G,1044123,3
k,bucket,20,1000,2,G,1016320,3
d,bucket,10,1000,1,G,629344,3
d,bucket,10,1000,2,G,982810,3
d,bucket,10,1000,3,G,1054153,3
d,bucket,10,1000,4,G,1113479,3
d,bucket,10,1000,5,G,1220032,3
d,bucket,10,1000,6,G,1226036,3
d,bucket,10,1000,7,G,1278238,3
n,bucket,10,100,2,G,587,3
n,bucket,10,1000,2,G,105665,3
n,bucket,10,5000,2,G,3147866,3
n,bucket,10,10000,2,G,13614821,3
kn,bucket,1,100,2,G,634,3
kn,bucket,5,1000,2,G,104439,3
kn,bucket,10,5000,2,G,3245391,3
kn,bucket,20,10000,2,G,13762802,3
k,bucket,1,1000,2,U,312774,3
k,bucket,5,1000,2,U,298761,3
k,bucket,10,1000,2,U,305590,3
k,bucket,20,1000,2,U,291409,3
d,bucket,10,1000,1,U,169379,3
d,bucket,10,1000,2,U,282630,3
d,bucket,10,1000,3,U,285354,3
d,bucket,10,1000,4,U,901185,3
d,bucket,10,1000,5,U,843691,3
d,bucket,10,1000,6,U,649643,3
d,bucket,10,1000,7,U,538976,3
n,bucket,10,100,2,U,167,3
n,bucket,10,1000,2,U,30887,3
n,bucket,10,5000,2,U,819122,3
n,bucket,10,10000,2,U,3552645,3
kn,bucket,1,100,2,U,23,3
kn,bucket,5,1000,2,U,37482,3
