epoch,learning_rate,loss,val_learning_rate,val_loss
0,0.0010000000474974513,1.09376859664917,NA,NA
1,0.0010000000474974513,0.5947631597518921,NA,NA
2,0.0010000000474974513,0.49114909768104553,NA,NA
3,0.0010000000474974513,0.5984860062599182,NA,NA
4,0.0010000000474974513,0.42559295892715454,NA,NA
5,0.0010000000474974513,0.38774681091308594,NA,NA
6,0.0010000000474974513,0.41733312606811523,NA,NA
7,0.0010000000474974513,0.4309920072555542,NA,NA
8,0.0010000000474974513,0.383182168006897,NA,NA
9,0.0010000000474974513,0.30601558089256287,NA,NA
10,0.0010000000474974513,0.2970162630081177,NA,NA
11,0.0010000000474974513,0.2961755692958832,NA,NA
12,0.0010000000474974513,0.25462156534194946,NA,NA
13,0.0010000000474974513,0.25043144822120667,NA,NA
14,0.0010000000474974513,0.2162739336490631,NA,NA
15,0.0010000000474974513,0.23578998446464539,NA,NA
16,0.0010000000474974513,0.21232563257217407,NA,NA
17,0.0010000000474974513,0.21977874636650085,NA,NA
18,0.0010000000474974513,0.24542509019374847,NA,NA
19,0.0010000000474974513,0.18917275965213776,NA,NA
20,0.0010000000474974513,0.19957832992076874,NA,NA
21,0.0010000000474974513,0.17875851690769196,NA,NA
22,0.0010000000474974513,0.1758156418800354,NA,NA
23,0.0010000000474974513,0.13785995543003082,NA,NA
24,0.0010000000474974513,0.13789768517017365,NA,NA
25,0.0010000000474974513,0.16047511994838715,NA,NA
26,0.0010000000474974513,0.16634461283683777,NA,NA
27,0.0010000000474974513,0.13205422461032867,NA,NA
28,0.0010000000474974513,0.11125895380973816,NA,NA
29,0.0010000000474974513,0.1227707639336586,NA,NA
30,0.0010000000474974513,0.11919683963060379,NA,NA
31,0.0010000000474974513,0.09845490008592606,NA,NA
32,0.0010000000474974513,0.09453053772449493,NA,NA
33,0.0010000000474974513,0.08014574646949768,NA,NA
34,0.0010000000474974513,0.1039506122469902,NA,NA
35,0.0010000000474974513,0.07828859239816666,NA,NA
36,0.0010000000474974513,0.07900594919919968,NA,NA
37,0.0010000000474974513,0.07456141710281372,NA,NA
38,0.0010000000474974513,0.06769151240587234,NA,NA
39,0.0010000000474974513,0.10579061508178711,NA,NA
40,0.0010000000474974513,0.06331030279397964,NA,NA
41,0.0010000000474974513,0.05512906610965729,NA,NA
42,0.0010000000474974513,0.09026048332452774,NA,NA
43,0.0010000000474974513,0.07911848276853561,NA,NA
44,0.0010000000474974513,0.05878298729658127,NA,NA
45,0.0010000000474974513,0.0583353154361248,NA,NA
46,0.0010000000474974513,0.06455285847187042,NA,NA
47,0.00010000000474974513,0.047439828515052795,NA,NA
48,0.00010000000474974513,0.03912697359919548,NA,NA
49,0.00010000000474974513,0.039334606379270554,NA,NA
50,0.00010000000474974513,0.03956174850463867,NA,NA
51,0.00010000000474974513,0.042851921170949936,NA,NA
52,0.00010000000474974513,0.03547709435224533,NA,NA
53,0.00010000000474974513,0.03787737712264061,NA,NA
54,0.00010000000474974513,0.039116181433200836,NA,NA
55,0.00010000000474974513,0.03310607001185417,NA,NA
56,0.00010000000474974513,0.042064033448696136,NA,NA
57,0.00010000000474974513,0.03916272893548012,NA,NA
58,0.00010000000474974513,0.03448249399662018,NA,NA
59,0.00010000000474974513,0.03636647015810013,NA,NA
60,0.00010000000474974513,0.0356435552239418,NA,NA
61,1.0000000656873453e-05,0.03750324621796608,NA,NA
62,1.0000000656873453e-05,0.03542796149849892,NA,NA
63,1.0000000656873453e-05,0.03472689539194107,NA,NA
64,1.0000000656873453e-05,0.036346435546875,NA,NA
65,1.0000000656873453e-05,0.03940685838460922,NA,NA
